park_name,category,subcategory,civic_no,street,address,city,province,country,latitude,longitude,name,desc,color,source,precision
TREMAINE PARK,NEIGHBOURHOOD PARK,PASSIVE AREA,100,WILLIAM LEWIS ST,100 WILLIAM LEWIS ST,KITCHENER,ONTARIO,CANADA,43.440297,-80.4104068,"WILLIAM LEWIS ST, KITCHENER, ONTARIO, CANADA","William Lewis St, Kitchener, ON N2A, Canada",,Bing Maps,street
OLD MILL GREEN,NATURAL AREA,OPEN SPACE/FLOODPLAIN,,OLD MILL RD,OLD MILL RD,KITCHENER,ONTARIO,CANADA,43.3934933,-80.41451,"OLD MILL RD, KITCHENER, ONTARIO, CANADA","Old Mill Rd, Kitchener, ON N2P, Canada",,Bing Maps,street
PARKVALE PARK - SWP,OPEN SPACE,OPEN SPACE/SWM,113,PARKVALE DR,113 PARKVALE DR,KITCHENER,ONTARIO,CANADA,43.3890027,-80.4779947,"PARKVALE DR, KITCHENER, ONTARIO, CANADA","Parkvale Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
MOTZ GREEN,GREEN (PARKETTE),OPEN SPACE,,FAIRWAY RD S,FAIRWAY RD S,KITCHENER,ONTARIO,CANADA,43.4215838,-80.4400688,"FAIRWAY RD S, KITCHENER, ONTARIO, CANADA","Fairway Rd S, Kitchener, ON N2C, Canada",,Bing Maps,street
CHICOPEE-VALE TRAIL,NATURAL AREA,OPEN SPACE/TRAIL,281,GRAND RIVER BLVD,281 GRAND RIVER BLVD,KITCHENER,ONTARIO,CANADA,43.4324644,-80.4139437,"GRAND RIVER BLVD, KITCHENER, ONTARIO, CANADA","Grand River Blvd, Kitchener, ON N2A, Canada",,Bing Maps,street
CARISBROOK DRIVE NATURAL AREA,NATURAL AREA,OPEN SPACE/WETLAND,50,CARISBROOK DRIVE,50 CARISBROOK DRIVE,KITCHENER,ONTARIO,CANADA,43.4830548,-80.4812914,"CARISBROOK DRIVE, KITCHENER, ONTARIO, CANADA","Carisbrook Dr, Kitchener, ON N2K, Canada",,Bing Maps,street
TRAYNOR PARK,NEIGHBOURHOOD PARK,PLAY AREA,345,TRAYNOR AVE,345 TRAYNOR AVE,KITCHENER,ONTARIO,CANADA,43.4213635,-80.4516096,"TRAYNOR AVE, KITCHENER, ONTARIO, CANADA","Traynor Ave, Kitchener, ON N2C, Canada",,Bing Maps,street
ARNOLD PARK,NEIGHBOURHOOD PARK,PLAY AREA,70,ARNOLD ST,70 ARNOLD ST,KITCHENER,ONTARIO,CANADA,43.4706887,-80.4762502,"ARNOLD ST, KITCHENER, ONTARIO, CANADA","Arnold St, Kitchener, ON N2H, Canada",,Bing Maps,street
BRUBACHER PARK,GREEN (PARKETTE),PARK,65,BRUBACHER ST,65 BRUBACHER ST,KITCHENER,ONTARIO,CANADA,43.4519305,-80.4769697,"BRUBACHER ST, KITCHENER, ONTARIO, CANADA","Brubacher St, Kitchener, ON N2H, Canada",,Bing Maps,street
CHERRY PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,84,STRANGE ST,84 STRANGE ST,KITCHENER,ONTARIO,CANADA,43.4468209,-80.5065675,"STRANGE ST, KITCHENER, ONTARIO, CANADA","Strange St, Kitchener, ON N2G, Canada",,Bing Maps,street
ABRAM STAUFFER GREEN,GREEN,PASSIVE AREA,,TILT DR,TILT DR,KITCHENER,ONTARIO,CANADA,43.3876117,-80.4374351,"TILT DR, KITCHENER, ONTARIO, CANADA","Tilt Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
BRIARFIELD PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/WETLAND,,BRIARFIELD ST,BRIARFIELD ST,KITCHENER,ONTARIO,CANADA,43.4409781,-80.4202728,"BRIARFIELD ST, KITCHENER, ONTARIO, CANADA","Briarfield St, Kitchener, ON N2A, Canada",,Bing Maps,street
GRAND RIVER NATURAL AREA - RIVER BIRCH,NATURAL AREA,OPEN SPACE/WOODLAND,900,RIVER BIRCH CRT,900 RIVER BIRCH CRT,KITCHENER,ONTARIO,CANADA,43.412217,-80.4268419,"RIVER BIRCH CRT, KITCHENER, ONTARIO, CANADA","River Birch Crt, Kitchener, ON N2C, Canada",,Bing Maps,street
UPPER CANADA PARK,DISTRICT PARK,TO INPUT,120,PIONEER DR,120 PIONEER DR,KITCHENER,ONTARIO,CANADA,43.3939,-80.4404702,"PIONEER DR, KITCHENER, ONTARIO, CANADA","Pioneer Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
BALZER GREENWAY,GREENWAY,OPEN SPACE/TRAIL,,COUNTRY HILL DR,COUNTRY HILL DR,KITCHENER,ONTARIO,CANADA,43.4146201,-80.4736797,"COUNTRY HILL DR, KITCHENER, ONTARIO, CANADA","Country Hill Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
GRAND VIEW WOODS SOUTH (GRCA),NATURAL AREA,OPEN SPACE/TRAIL,,GRANDHILL DR,GRANDHILL DR,KITCHENER,ONTARIO,CANADA,43.4124489,-80.402899,"GRANDHILL DR, KITCHENER, ONTARIO, CANADA","Grand Hill Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
VETERANS' PARK,NEIGHBOURHOOD PARK,PLAY AREA,75,LORNE CRES,75 LORNE CRES,KITCHENER,ONTARIO,CANADA,43.4363083,-80.4924166,"LORNE CRES, KITCHENER, ONTARIO, CANADA","Lorne Crescent, Kitchener, ON N2M, Canada",,Bing Maps,street
THOMAS SLEE PARK,NEIGHBOURHOOD PARK,PLAY AREA,331,THOMAS SLEE DR,331 THOMAS SLEE DR,KITCHENER,ONTARIO,CANADA,43.374953,-80.4362168,"THOMAS SLEE DR, KITCHENER, ONTARIO, CANADA","Thomas Slee Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
BEAUMONT PARK,NEIGHBOURHOOD PARK,PLAY AREA,345,BEAUMONT CRES,345 BEAUMONT CRES,KITCHENER,ONTARIO,CANADA,43.4390517,-80.4156383,"BEAUMONT CRES, KITCHENER, ONTARIO, CANADA","Beaumont Crescent, Kitchener, ON N2A, Canada",,Bing Maps,street
GRAND VIEW WOODS NORTH (MTO),NATURAL AREA,OPEN SPACE/TRAIL,,GRANDHILL DR,GRANDHILL DR,KITCHENER,ONTARIO,CANADA,43.4124489,-80.402899,"GRANDHILL DR, KITCHENER, ONTARIO, CANADA","Grand Hill Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
RANDERSON GREEN,GREEN (PARKETTE),PASSIVE AREA,,RANDERSON AVE,RANDERSON AVE,KITCHENER,ONTARIO,CANADA,43.444575,-80.462895,"RANDERSON AVE, KITCHENER, ONTARIO, CANADA","Randerson Ave, Kitchener, ON N2H, Canada",,Bing Maps,street
AUTUMN RIDGE TRAIL LINK,GREENWAY,OPEN SPACE/TRAIL,,PINNACLE DR,PINNACLE DR,KITCHENER,ONTARIO,CANADA,43.3895518,-80.4173351,"PINNACLE DR, KITCHENER, ONTARIO, CANADA","Pinnacle Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
ZELLER PARK,NEIGHBOURHOOD PARK,PLAY AREA,245,ZELLER DR,245 ZELLER DR,KITCHENER,ONTARIO,CANADA,43.450822,-80.4064276,"ZELLER DR, KITCHENER, ONTARIO, CANADA","Zeller Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
OVERLEA PARK,NEIGHBOURHOOD PARK,PLAY AREA,25,OVERLEA CRT,25 OVERLEA CRT,KITCHENER,ONTARIO,CANADA,43.4323054,-80.5162463,"OVERLEA CRT, KITCHENER, ONTARIO, CANADA","Overlea Crt, Kitchener, ON N2M, Canada",,Bing Maps,street
SPRINGDALE GREEN NATURAL AREA,NATURAL AREA,OPEN SPACE,,SPRINGDALE DR,SPRINGDALE DR,KITCHENER,ONTARIO,CANADA,43.4774643,-80.4929348,"SPRINGDALE DR, KITCHENER, ONTARIO, CANADA","Springdale Dr, Kitchener, ON N2K, Canada",,Bing Maps,street
HOWE DR - SWP,OPEN SPACE,OPEN SPACE/SWM,178,WINDALE CRES,178 WINDALE CRES,KITCHENER,ONTARIO,CANADA,43.4193029,-80.5094291,"WINDALE CRES, KITCHENER, ONTARIO, CANADA","Windale Crescent, Kitchener, ON N2E, Canada",,Bing Maps,street
MARISA PARK,NEIGHBOURHOOD PARK,OPEN SPACE/TRAIL,63,MARISA ST,63 MARISA ST,KITCHENER,ONTARIO,CANADA,43.4775503,-80.4679444,"MARISA ST, KITCHENER, ONTARIO, CANADA","Marisa St, Kitchener, ON N2K, Canada",,Bing Maps,street
DOON CREEK NATURAL AREA 2,NATURAL AREA,OPEN SPACE/TRAIL,,DOON SOUTH DR,DOON SOUTH DR,KITCHENER,ONTARIO,CANADA,43.3762162,-80.4338862,"DOON SOUTH DR, KITCHENER, ONTARIO, CANADA","Doon South Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
MAJOR PARK,NEIGHBOURHOOD PARK,PLAY AREA,330,BREITHAUPT ST,330 BREITHAUPT ST,KITCHENER,ONTARIO,CANADA,43.4556527,-80.4949792,"BREITHAUPT ST, KITCHENER, ONTARIO, CANADA","Breithaupt St, Kitchener, ON N2H, Canada",,Bing Maps,street
TIMM PARK,NEIGHBOURHOOD PARK,PLAY AREA,360,GAGE AVE,360 GAGE AVE,KITCHENER,ONTARIO,CANADA,43.447291,-80.5144295,"GAGE AVE, KITCHENER, ONTARIO, CANADA","Gage Ave, Kitchener, ON N2M, Canada",,Bing Maps,street
VETERANS' GREEN INTERPRETIVE AREA,GREEN,PASSIVE AREA,,SPADINA RD E,SPADINA RD E,KITCHENER,ONTARIO,CANADA,43.4389333,-80.4976358,"SPADINA RD E, KITCHENER, ONTARIO, CANADA","Spadina Rd E, Kitchener, ON N2M, Canada",,Bing Maps,street
KINGSDALE PARK,NEIGHBOURHOOD PARK,PLAY AREA,124,CEDARWOODS CRES,124 CEDARWOODS CRES,KITCHENER,ONTARIO,CANADA,43.4279742,-80.4408786,"CEDARWOODS CRES, KITCHENER, ONTARIO, CANADA","Cedarwoods Crescent, Kitchener, ON N2C, Canada",,Bing Maps,street
HEARTH GREEN,GREENWAY,OPEN SPACE/TRAIL,,HEARTH CRES,HEARTH CRES,KITCHENER,ONTARIO,CANADA,43.435897,-80.5083966,"HEARTH CRES, KITCHENER, ONTARIO, CANADA","Hearth Crescent, Kitchener, ON N2M, Canada",,Bing Maps,street
DAIMLER DR WALKWAY,GREENWAY,OPEN SPACE/TRAIL,,IDLE RIDGE CRT,IDLE RIDGE CRT,KITCHENER,ONTARIO,CANADA,43.4454386,-80.4229295,"IDLE RIDGE CRT, KITCHENER, ONTARIO, CANADA","Idle Ridge Crt, Kitchener, ON N2A, Canada",,Bing Maps,street
WESTMOUNT DRAIN,GREENWAY,OPEN SPACE/FLOODPLAIN,,VICTORIA ST S,VICTORIA ST S,KITCHENER,ONTARIO,CANADA,43.446906,-80.5041527,"VICTORIA ST S, KITCHENER, ONTARIO, CANADA","Victoria St S, Kitchener, ON N2G, Canada",,Bing Maps,street
DRYDEN GREENWAY,GREENWAY,OPEN SPACE/FLOODPLAIN,,COURTLAND AVE E,COURTLAND AVE E,KITCHENER,ONTARIO,CANADA,43.4432248,-80.4878461,"COURTLAND AVE E, KITCHENER, ONTARIO, CANADA","Courtland Ave E, Kitchener, ON N2G, Canada",,Bing Maps,street
PAIGE PARK NATURAL AREA,NEIGHBOURHOOD PARK,TO INPUT,235,PAIGE PL,235 PAIGE PL,KITCHENER,ONTARIO,CANADA,43.4762793,-80.4685942,"PAIGE PL, KITCHENER, ONTARIO, CANADA","Paige Pl, Kitchener, ON N2K, Canada",,Bing Maps,street
SHADED CREEK DR - SWP,OPEN SPACE,OPEN SPACE/SWM,,SHADED CREEK DR,SHADED CREEK DR,KITCHENER,ONTARIO,CANADA,43.3742431,-80.4411694,"SHADED CREEK DR, KITCHENER, ONTARIO, CANADA","S Creek Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
SANDHILLS PARK,NEIGHBOURHOOD PARK,PLAY AREA,130,CEDAR ST S,130 CEDAR ST S,KITCHENER,ONTARIO,CANADA,43.4422482,-80.4879859,"CEDAR ST S, KITCHENER, ONTARIO, CANADA","Cedar St S, Kitchener, ON N2G, Canada",,Bing Maps,street
ARGYLE PARK,NEIGHBOURHOOD PARK,PLAY AREA,80,ARGYLE ST,80 ARGYLE ST,KITCHENER,ONTARIO,CANADA,43.4540464,-80.5187818,"ARGYLE ST, KITCHENER, ONTARIO, CANADA","Argyle St, Kitchener, ON N2M, Canada",,Bing Maps,street
FORFAR PARK,NEIGHBOURHOOD PARK,PLAY AREA,80,FORFAR AVE,80 FORFAR AVE,KITCHENER,ONTARIO,CANADA,43.464699,-80.4538723,"FORFAR AVE, KITCHENER, ONTARIO, CANADA","Forfar Ave, Kitchener, ON N2B, Canada",,Bing Maps,street
BROOK GREEN,GREEN (PARKETTE),OPEN SPACE/TRAIL,,BROOKSIDE CRES,BROOKSIDE CRES,KITCHENER,ONTARIO,CANADA,43.4220234,-80.5264232,"BROOKSIDE CRES, KITCHENER, ONTARIO, CANADA","Brookside Crescent, Kitchener, ON N2N, Canada",,Bing Maps,street
CHANDLER PARK,NEIGHBOURHOOD PARK,PLAY AREA,222,CHANDLER DR,222 CHANDLER DR,KITCHENER,ONTARIO,CANADA,43.4215284,-80.5006723,"CHANDLER DR, KITCHENER, ONTARIO, CANADA","Chandler Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
FOREST HILL PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,330,VILLAGE RD,330 VILLAGE RD,KITCHENER,ONTARIO,CANADA,43.4267151,-80.5039343,"VILLAGE RD, KITCHENER, ONTARIO, CANADA","Village Rd, Kitchener, ON N2M, Canada",,Bing Maps,street
FRANCIS GREEN,GREEN (PARKETTE),PASSIVE AREA,399,KING ST W,399 KING ST W,KITCHENER,ONTARIO,CANADA,43.454889,-80.5047745,"KING ST W, KITCHENER, ONTARIO, CANADA","King St W, Kitchener, ON N2G, Canada",,Bing Maps,street
CASEY PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,50,CASEY DR,50 CASEY DR,KITCHENER,ONTARIO,CANADA,43.4535739,-80.4294716,"CASEY DR, KITCHENER, ONTARIO, CANADA","Casey Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
WHEATFIELD PARK,NEIGHBOURHOOD PARK,OPEN SPACE/TRAIL,103,WHEATFIELD CRES,103 WHEATFIELD CRES,KITCHENER,ONTARIO,CANADA,43.3911246,-80.4463379,"WHEATFIELD CRES, KITCHENER, ONTARIO, CANADA","Wheatfield Crescent, Kitchener, ON N2P, Canada",,Bing Maps,street
STRASBURG CREEK,NATURAL AREA,OPEN SPACE/TRAIL,1891,STRASBURG RD,1891 STRASBURG RD,KITCHENER,ONTARIO,CANADA,43.4025882,-80.4695072,"STRASBURG RD, KITCHENER, ONTARIO, CANADA","Strasburg Rd, Kitchener, ON N2R, Canada",,Bing Maps,street
IRON HORSE TRAIL,GREENWAY,OPEN SPACE/TRAIL,,UNION BLVD TO OTTAWA ST S,UNION BLVD TO OTTAWA ST S,KITCHENER,ONTARIO,CANADA,43.4254979,-80.4838766,"UNION BLVD TO OTTAWA ST S, KITCHENER, ONTARIO, CANADA","Ottawa St S, Kitchener, ON N2E, Canada",,Bing Maps,street
DURHAM GREEN,GREEN,PASSIVE AREA,10,DURHAM ST,10 DURHAM ST,KITCHENER,ONTARIO,CANADA,43.392527,-80.41053,"DURHAM ST, KITCHENER, ONTARIO, CANADA","Durham St, Kitchener, ON N2P, Canada",,Bing Maps,street
EXPRESSWAY TRAIL,GREENWAY,OPEN SPACE/TRAIL,,KRUG ST TO BURBANK RD,KRUG ST TO BURBANK RD,KITCHENER,ONTARIO,CANADA,43.4587791,-80.4574179,"KRUG ST TO BURBANK RD, KITCHENER, ONTARIO, CANADA","Krug St & ON-56, Kitchener, ON N2B, Canada",,Bing Maps,intersection
SCHNEIDER CREEK - NYBERG GREENWAY 1,GREENWAY,OPEN SPACE/TRAIL,,KENT AVE,KENT AVE,KITCHENER,ONTARIO,CANADA,43.4410215,-80.479079,"KENT AVE, KITCHENER, ONTARIO, CANADA","Kent Ave, Kitchener, ON N2G, Canada",,Bing Maps,street
WILLOWRUN PARK,NEIGHBOURHOOD PARK,PLAY AREA,80,WILLOWRUN DR,80 WILLOWRUN DR,KITCHENER,ONTARIO,CANADA,43.4497338,-80.4025468,"WILLOWRUN DR, KITCHENER, ONTARIO, CANADA","Willowrun Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
NORTHFOREST PARK,NEIGHBOURHOOD PARK,PLAY AREA,90,NORTHFOREST TRAIL,90 NORTHFOREST TRAIL,KITCHENER,ONTARIO,CANADA,43.3826895,-80.4265749,"NORTHFOREST TRAIL, KITCHENER, ONTARIO, CANADA","Forest Edge Trail, Kitchener, ON N2P, Canada",,Bing Maps,street
ELM TREE GREEN,GREEN,PASSIVE AREA,870,TRILLIUM DR,870 TRILLIUM DR,KITCHENER,ONTARIO,CANADA,43.4013993,-80.4671115,"TRILLIUM DR, KITCHENER, ONTARIO, CANADA","Trillium Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
HURON TRAIL,GREENWAY,OPEN SPACE/TRAIL,,HURON RD,HURON RD,KITCHENER,ONTARIO,CANADA,43.3919706,-80.4664175,"HURON RD, KITCHENER, ONTARIO, CANADA","Huron Rd, Kitchener, ON N2R, Canada",,Bing Maps,street
ROBERT FERRIE PARKETTE,NEIGHBOURHOOD PARK,PARK,300,ROBERT FERRIE DR,300 ROBERT FERRIE DR,KITCHENER,ONTARIO,CANADA,43.3782108,-80.4498606,"ROBERT FERRIE DR, KITCHENER, ONTARIO, CANADA","Robert Ferrie Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
STANLEY PARK CONSERVATION AREA (GRCA),NATURAL AREA,OPEN SPACE/TRAIL,,RIVER RD E,RIVER RD E,KITCHENER,ONTARIO,CANADA,43.4581692,-80.4527454,"RIVER RD E, KITCHENER, ONTARIO, CANADA","River Rd E, Kitchener, ON N2B, Canada",,Bing Maps,street
KITCHENER MEMORIAL AUDITORIUM COMPLEX SPORTSFIELD,CITY WIDE PARK,MAJOR SPORTSFIELD,400,EAST AVE,400 EAST AVE,KITCHENER,ONTARIO,CANADA,43.4537715,-80.4735214,"EAST AVE, KITCHENER, ONTARIO, CANADA","East Ave, Kitchener, ON N2H, Canada",,Bing Maps,street
MAX BECKER COMMON,NEIGHBOURHOOD PARK,PLAY AREA,300,MAX BECKER DR,300 MAX BECKER DR,KITCHENER,ONTARIO,CANADA,43.4061368,-80.5126042,"MAX BECKER DR, KITCHENER, ONTARIO, CANADA","Max Becker Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
PETER HALLMAN BALL YARD,DISTRICT PARK,MAJOR SPORTSFIELD,220,HAYWARD AVE,220 HAYWARD AVE,KITCHENER,ONTARIO,CANADA,43.4261293,-80.4673128,"HAYWARD AVE, KITCHENER, ONTARIO, CANADA","Hayward Ave, Kitchener, ON N2C, Canada",,Bing Maps,street
SEDGEWOOD PARK,NEIGHBOURHOOD PARK,PLAY AREA,293,SEGDEWOOD ST,293 SEGDEWOOD ST,KITCHENER,ONTARIO,CANADA,43.3722765,-80.4439094,"SEGDEWOOD ST, KITCHENER, ONTARIO, CANADA","Sedgewood St, Kitchener, ON N2P, Canada",,Bing Maps,street
WETLAND WAY PARK,NEIGHBOURHOOD PARK,PLAY AREA,165,BLAIR CREEK DR,165 BLAIR CREEK DR,KITCHENER,ONTARIO,CANADA,43.3717976,-80.4299264,"BLAIR CREEK DR, KITCHENER, ONTARIO, CANADA","Blair Creek Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
SCHNEIDER CREEK PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/FLOODPLAIN,40,GREEN VALLEY DR,40 GREEN VALLEY DR,KITCHENER,ONTARIO,CANADA,43.3985915,-80.4326108,"GREEN VALLEY DR, KITCHENER, ONTARIO, CANADA","Green Valley Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
HERITAGE PARK,NEIGHBOURHOOD PARK,PLAY AREA,30,HALIFAX DR,30 HALIFAX DR,KITCHENER,ONTARIO,CANADA,43.462826,-80.4459605,"HALIFAX DR, KITCHENER, ONTARIO, CANADA","Halifax Dr, Kitchener, ON N2B, Canada",,Bing Maps,street
LUTHER GREEN,GREEN (PARKETTE),PASSIVE AREA,,WEBER ST E,WEBER ST E,KITCHENER,ONTARIO,CANADA,43.4436524,-80.4667194,"WEBER ST E, KITCHENER, ONTARIO, CANADA","Weber St E, Kitchener, ON N2H, Canada",,Bing Maps,street
HURON NATURAL AREA,NATURAL AREA,OPEN SPACE/WETLAND,801,TRILLIUM DR,801 TRILLIUM DR,KITCHENER,ONTARIO,CANADA,43.4013993,-80.4671115,"TRILLIUM DR, KITCHENER, ONTARIO, CANADA","Trillium Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
SEABROOK PARK,NEIGHBOURHOOD PARK,PLAY AREA,190,SEABROOK DR,190 SEABROOK DR,KITCHENER,ONTARIO,CANADA,43.3859006,-80.4969817,"SEABROOK DR, KITCHENER, ONTARIO, CANADA","Seabrook Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
HEARTHWOOD NATURAL AREA,NATURAL AREA,OPEN SPACE/WETLAND,372,HEARTHWOOD DR,372 HEARTHWOOD DR,KITCHENER,ONTARIO,CANADA,43.3816282,-80.4543802,"HEARTHWOOD DR, KITCHENER, ONTARIO, CANADA","Hearthwood Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
ADMIRAL PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,93,ROXBOROUGH AVE,93 ROXBOROUGH AVE,KITCHENER,ONTARIO,CANADA,43.4386318,-80.5081949,"ROXBOROUGH AVE, KITCHENER, ONTARIO, CANADA","Roxborough Ave, Kitchener, ON N2M, Canada",,Bing Maps,street
PIONEER PARK,NEIGHBOURHOOD PARK,OPEN SPACE/TRAIL,40,GREEN VALLEY DR,40 GREEN VALLEY DR,KITCHENER,ONTARIO,CANADA,43.3985915,-80.4326108,"GREEN VALLEY DR, KITCHENER, ONTARIO, CANADA","Green Valley Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
KAUFMAN PARK,DISTRICT PARK,MAJOR SPORTSFIELD,104,STIRLING AVE S,104 STIRLING AVE S,KITCHENER,ONTARIO,CANADA,43.4410234,-80.4843618,"STIRLING AVE S, KITCHENER, ONTARIO, CANADA","Stirling Ave S, Kitchener, ON N2G, Canada",,Bing Maps,street
SPRINGMOUNT PARK NATURAL AREA,NEIGHBOURHOOD PARK,TO INPUT,27,SPRINGMOUNT DR,27 SPRINGMOUNT DR,KITCHENER,ONTARIO,CANADA,43.4478566,-80.4245268,"SPRINGMOUNT DR, KITCHENER, ONTARIO, CANADA","Springmount Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
GEORGE LIPPERT PARK,NEIGHBOURHOOD PARK,PLAY AREA,200,WEBER ST W,200 WEBER ST W,KITCHENER,ONTARIO,CANADA,43.4552277,-80.4941766,"WEBER ST W, KITCHENER, ONTARIO, CANADA","Weber St W, Kitchener, ON N2H, Canada",,Bing Maps,street
FOREST CREEK DR PARK,NEIGHBOURHOOD PARK,PLAY AREA,40,FOREST CREEK DR,40 FOREST CREEK DR,KITCHENER,ONTARIO,CANADA,43.3795521,-80.4415356,"FOREST CREEK DR, KITCHENER, ONTARIO, CANADA","Forest Creek Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
OSCAR LAUBER PARK,NEIGHBOURHOOD PARK,PLAY AREA,314,LOUISA ST,314 LOUISA ST,KITCHENER,ONTARIO,CANADA,43.4577985,-80.4956926,"LOUISA ST, KITCHENER, ONTARIO, CANADA","Louisa St, Kitchener, ON N2H, Canada",,Bing Maps,street
DOON MILLS PARK,NEIGHBOURHOOD PARK,PLAY AREA,4,DOON MILLS DR,4 DOON MILLS DR,KITCHENER,ONTARIO,CANADA,43.3852262,-80.4306431,"DOON MILLS DR, KITCHENER, ONTARIO, CANADA","Doon Mills Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
PAIGE ST - SWP,OPEN SPACE,OPEN SPACE/SWM,76,PAIGE ST,76 PAIGE ST,KITCHENER,ONTARIO,CANADA,43.4766869,-80.4673035,"PAIGE ST, KITCHENER, ONTARIO, CANADA","Paige St, Kitchener, ON N2K, Canada",,Bing Maps,street
PIONEER MEMORIAL TOWER PARK,GREEN (PARKETTE),HISTORIC SITE,300,LOOKOUT LANE,300 LOOKOUT LANE,KITCHENER,ONTARIO,CANADA,43.4046538,-80.4172672,"LOOKOUT LANE, KITCHENER, ONTARIO, CANADA","Lookout Lane, Kitchener, ON N2P, Canada",,Bing Maps,street
BLAIR CREEK NATURAL AREA,NATURAL AREA,OPEN SPACE/WETLAND,,BLAIR CREEK DR AND DODGE DR,BLAIR CREEK DR AND DODGE DR,KITCHENER,ONTARIO,CANADA,43.3731132,-80.4268277,"BLAIR CREEK DR AND DODGE DR, KITCHENER, ONTARIO, CANADA","Blair Creek Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
KUNTZ PARK,NEIGHBOURHOOD PARK,TO INPUT,290,LOOKOUT LANE,290 LOOKOUT LANE,KITCHENER,ONTARIO,CANADA,43.4046538,-80.4172672,"LOOKOUT LANE, KITCHENER, ONTARIO, CANADA","Lookout Lane, Kitchener, ON N2P, Canada",,Bing Maps,street
OATEN PARK,NEIGHBOURHOOD PARK,PLAY AREA,155,RUTHERFORD DR,155 RUTHERFORD DR,KITCHENER,ONTARIO,CANADA,43.4342789,-80.4335458,"RUTHERFORD DR, KITCHENER, ONTARIO, CANADA","Rutherford Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
BELMONT PARK,NEIGHBOURHOOD PARK,PLAY AREA,285,BELMONT AVE W,285 BELMONT AVE W,KITCHENER,ONTARIO,CANADA,43.4404954,-80.508644,"BELMONT AVE W, KITCHENER, ONTARIO, CANADA","Belmont Ave W, Kitchener, ON N2M, Canada",,Bing Maps,street
PROSPECT PARK,NEIGHBOURHOOD PARK,PLAY AREA,131,WILFRED AVE,131 WILFRED AVE,KITCHENER,ONTARIO,CANADA,43.4391344,-80.4518581,"WILFRED AVE, KITCHENER, ONTARIO, CANADA","Wilfred Ave, Kitchener, ON N2A, Canada",,Bing Maps,street
SCHAEFER PARK,NEIGHBOURHOOD PARK,PLAY AREA,75,BLOOMINGDALE RD,75 BLOOMINGDALE RD,KITCHENER,ONTARIO,CANADA,43.4804251,-80.4792701,"BLOOMINGDALE RD, KITCHENER, ONTARIO, CANADA","Bloomingdale Rd, Kitchener, ON N2K, Canada",,Bing Maps,street
DRIFTWOOD PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,,DRIFTWOOD DR,DRIFTWOOD DR,KITCHENER,ONTARIO,CANADA,43.4178885,-80.5401276,"DRIFTWOOD DR, KITCHENER, ONTARIO, CANADA","Driftwood Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
ORCHARD MILL GREEN,GREEN (PARKETTE),PASSIVE AREA,,DOON VALLEY DR,DOON VALLEY DR,KITCHENER,ONTARIO,CANADA,43.392686,-80.402306,"DOON VALLEY DR, KITCHENER, ONTARIO, CANADA","Doon Valley Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
GENERALS GREEN,GREEN (PARKETTE),PASSIVE AREA,624,LANCASTER ST W,624 LANCASTER ST W,KITCHENER,ONTARIO,CANADA,43.460757,-80.483274,"LANCASTER ST W, KITCHENER, ONTARIO, CANADA","Lancaster St W, Kitchener, ON N2H, Canada",,Bing Maps,street
